TOTAL ENERGY AND FORCE IN THE NETWORK AT EVERY TIME STEP
TOTAL TIME STEPS = 1000
timestep	f_total	f_elasticity	f_contraction	f_adhesion	f_motility	e_total	e_elasticity	e_adhesion	e_contraction	shape
4.11	21.5968	24.2972	17.2406	7.56836	21.9107	77.4888	0.717531	46.5634	30.2079	3.88028
4.12	23.0486	24.2563	17.2447	7.56903	21.1347	77.4859	0.715818	46.563	30.2071	3.88025
4.13	22.3636	24.2143	17.2565	7.57272	22.1885	77.484	0.713394	46.5633	30.2072	3.88028
4.14	26.6227	24.1845	17.2596	7.57375	24.6379	77.4812	0.711448	46.5631	30.2066	3.88026
4.15	25.0455	24.1691	17.2609	7.57342	22.4634	77.4787	0.71062	46.5625	30.2056	3.88021
4.16	24.0018	24.193	17.2556	7.57205	23.0623	77.4757	0.711577	46.5607	30.2034	3.88006
4.17	24.3516	24.1776	17.257	7.57226	24.7981	77.4722	0.710391	46.5598	30.2019	3.87999
4.18	26.6055	24.2099	17.2371	7.56514	25.3512	77.4694	0.711482	46.5581	30.1998	3.87984
4.19	26.1986	24.2176	17.228	7.56083	21.5636	77.4669	0.710627	46.5574	30.1988	3.87978
4.2	23.3734	24.2023	17.2102	7.5579	23.3342	77.464	0.709636	46.5566	30.1977	3.87972
4.21	24.3296	24.2122	17.2157	7.55746	22.9137	77.4619	0.709019	46.5561	30.1968	3.87967
4.22	26.1076	24.1831	17.2226	7.56007	20.5651	77.4597	0.706526	46.5563	30.1969	3.87969
4.23	26.2415	24.1863	17.2196	7.56003	24.4407	77.4575	0.706553	46.5553	30.1956	3.87961
4.24	23.3678	24.1474	17.2244	7.5606	22.4473	77.4555	0.704089	46.5557	30.1957	3.87965
4.25	24.583	24.1586	17.2246	7.56263	25.4896	77.4532	0.704634	46.5545	30.194	3.87954
4.26	25.2343	24.1739	17.2123	7.55808	23.084	77.4507	0.705381	46.5531	30.1923	3.87942
4.27	23.8015	24.152	17.2061	7.55579	22.5518	77.4483	0.703643	46.5529	30.1918	3.87941
4.28	22.2535	24.1835	17.1986	7.55207	22.237	77.445	0.705138	46.5507	30.1892	3.87923
4.29	25.1387	24.1684	17.1984	7.54994	22.6759	77.443	0.704111	46.5504	30.1885	3.8792
4.3	23.4817	24.1729	17.1807	7.54388	24.208	77.4397	0.704548	46.5488	30.1864	3.87907
4.31	22.0405	24.1744	17.1856	7.54358	21.4962	77.4364	0.703974	46.5477	30.1847	3.87898
4.32	21.6201	24.1767	17.1868	7.5448	24.7268	77.4339	0.703912	46.5466	30.1833	3.87889
4.33	25.7889	24.1585	17.2005	7.54935	22.2524	77.432	0.703351	46.5461	30.1826	3.87884
