timestep = 0
vx	vy
4.14466	3.60598	
5.2527	2.94826	
4.79344	2.38104	
4.2114	2.65228	
8.45779	1.15336	
9.33117	0.968124	
8.88685	2.04658	
8.92551	2.10681	
9.26147	2.18901	
4.79226	0.84864	
5.22979	0.63536	
4.04153	0.669482	
3.97594	0.756108	
7.96071	0.0158224	
8.1778	1.02209	
7.76473	0.665213	
7.63416	1.75096	
7.48084	1.8392	
6.32022	1.38675	
6.4252	1.66112	
4.04343	0.455051	
4.84658	0.259584	
6.49442	1.14016	
7.58726	0.694497	
timestep = 0.04
vx	vy
5.74126	9.41694	
6.68656	9.22099	
6.22286	5.06698	
8.9187	4.92449	
8.77408	4.94683	
9.44557	7.23267	
1.12537	9.80018	
8.17562	3.84785	
5.8669	4.06389	
6.59386	3.82714	
4.13909	6.13204	
6.50156	7.93601	
4.92618	7.1145	
4.98568	7.396	
4.86938	7.8806	
4.21319	6.55808	
2.32292	7.44383	
2.49236	7.07879	
3.8028	7.26604	
3.80808	7.71456	
6.63459	4.87937	
6.88876	4.08261	
7.51884	4.14344	
7.3199	4.05583	
7.36234	5.90313	
5.0301	4.64195	
4.26159	5.53164	
4.27521	5.92645	
9.69269	6.51942	
9.99077	6.06662	
9.97241	5.90442	
1.63021	7.55629	
1.04671	6.96537	
0.928725	9.81336	
9.58276	8.31156	
9.09602	7.43582	
9.57698	8.65728	
9.86774	9.68672	
7.73437	8.08949	
6.78658	9.03835	
6.57197	9.22798	
8.73876	3.55504	
8.21639	3.75243	
8.32656	2.52852	
1.35176	3.5202	
1.22951	2.34566	
9.42067	3.47664	
9.32248	4.39319	
4.0063	5.22178	
2.47624	6.73211	
2.78586	6.13682	
1.23081	6.43269	
3.61643	8.1181	
1.02957	9.71919	
7.4734	5.7799	
7.1732	5.15719	
7.61363	4.56896	
8.28309	5.62972	
8.42059	5.27585	
6.0868	5.26857	
5.97995	5.31121	
6.9179	5.85546	
9.58239	5.9615	
9.1737	6.47131	
8.74272	7.32974	
8.69452	6.66132	
7.54552	7.91886	
8.50121	6.01582	
8.50597	6.01451	
7.08123	7.88836	
7.13896	7.51633	
7.02001	7.81914	
7.0215	7.76413	
9.50588	8.84449	
9.49574	8.75211	
9.3215	8.67155	
