TOTAL ENERGY AND FORCE IN THE NETWORK AT EVERY TIME STEP
TOTAL TIME STEPS = 7000
timestep             f_total        f_elasticity       f_contraction          f_adhesion             e_total        e_elasticity          e_adhesion       e_contraction
15.8             247.952             211.067             247.952             20.4853              1178.4             37.6768             72.9114              1122.5
15.9             247.951             211.041             247.951             20.4855             1178.39             37.6659             72.9121             1122.49
16             247.951             211.014             247.951             20.4858             1178.37              37.655             72.9129             1122.49
16.1              247.95             210.988              247.95              20.486             1178.36             37.6442             72.9137             1122.49
16.2             247.949             210.962             247.949             20.4862             1178.34             37.6334             72.9144             1122.48
16.3             247.948             210.935             247.948             20.4865             1178.33             37.6226             72.9152             1122.48
16.4             247.948             210.909             247.948             20.4867             1178.31             37.6118              72.916             1122.47
16.5             247.947             210.883             247.947             20.4869              1178.3             37.6011             72.9168             1122.47
16.6             247.946             210.856             247.946             20.4871             1178.28             37.5904             72.9175             1122.46
16.7             247.946              210.83             247.946             20.4873             1178.27             37.5797             72.9183             1122.46
16.8             247.945             210.803             247.945             20.4875             1178.26             37.5691             72.9191             1122.46
16.9             247.944             210.777             247.944             20.4878             1178.24             37.5585             72.9198             1122.45
17             247.943             210.751             247.943              20.488             1178.23             37.5479             72.9206             1122.45
17.1             247.943             210.724             247.943             20.4882             1178.21             37.5373             72.9214             1122.44
17.2             247.942             210.698             247.942             20.4884              1178.2             37.5268             72.9222             1122.44
17.3             247.941             210.671             247.941             20.4886             1178.18             37.5163             72.9229             1122.44
17.4             247.941             210.645             247.941             20.4888             1178.17             37.5058             72.9237             1122.43
17.5              247.94             210.618              247.94             20.4889             1178.15             37.4954             72.9245             1122.43
17.6             247.939             210.592             247.939             20.4891             1178.14              37.485             72.9252             1122.42
17.7             247.938             210.565             247.938             20.4893             1178.13             37.4746              72.926             1122.42
17.8             247.938             210.538             247.938             20.4895             1178.11             37.4642             72.9268             1122.41
17.9             247.937             210.512             247.937             20.4897              1178.1             37.4539             72.9276             1122.41
18             247.936             210.485             247.936             20.4899             1178.08             37.4436             72.9283             1122.41
18.1             247.936             210.459             247.936               20.49             1178.07             37.4333             72.9291              1122.4
18.2             247.935             210.432             247.935             20.4902             1178.05             37.4231             72.9299              1122.4
18.3             247.934             210.405             247.934             20.4904             1178.04             37.4129             72.9307             1122.39
18.4             247.934             210.379             247.934             20.4905             1178.03             37.4027             72.9314             1122.39
18.5             247.933             210.352             247.933             20.4907             1178.01             37.3925             72.9322             1122.39
