timestep = 0
vx	vy
4.87153	7.10985	
4.90049	7.35947	
4.94013	7.91245	
4.1848	6.49026	
2.34824	7.43298	
2.42455	7.08474	
3.89673	7.27924	
3.73284	7.71664	
6.59323	4.87668	
6.90099	4.04083	
7.49077	4.10059	
7.31592	4.1227	
7.42081	5.87734	
4.99352	4.59429	
4.26215	5.61611	
4.21029	5.94561	
9.73912	6.51259	
9.97414	6.00242	
0.0236606	5.89241	
1.6571	7.55744	
1.03649	6.95005	
0.953721	9.75494	
9.54217	8.35817	
9.04746	7.39754	
9.54363	8.64407	
9.91316	9.69869	
7.72464	8.11155	
6.78182	9.03523	
6.67794	9.25026	
8.75587	3.62602	
8.22098	3.7997	
8.28868	2.47949	
1.37447	3.47787	
1.25443	2.33849	
9.48003	3.42057	
9.25701	4.38254	
4.00884	5.22131	
2.52258	6.74479	
2.7744	6.13478	
1.16181	6.40929	
3.57505	8.0976	
1.05458	9.74807	
7.49519	5.82881	
7.15183	5.20956	
7.62349	4.50628	
8.28281	5.60203	
8.47812	5.33996	
6.06301	5.26618	
6.04035	5.3363	
7.00276	5.84998	
9.59892	5.98732	
9.08411	6.50645	
8.75069	7.38018	
8.71492	6.66066	
7.45278	7.89935	
8.53579	6.00434	
8.47615	5.99784	
7.06108	7.86237	
7.09865	7.52362	
7.04365	7.80987	
7.02808	7.80007	
9.54234	8.78123	
9.54721	8.77707	
9.32745	8.71923	
8.24265	8.90717	
7.09795	9.26858	
8.51155	9.71455	
8.49428	9.5199	
8.48567	9.37581	
0.346399	9.85953	
6.61103	3.34498	
1.5892	3.15464	
1.62787	3.07898	
0.226269	1.66636	
9.97471	0.92034	
9.68931	3.1935	
9.36648	2.26117	
2.63771	5.84283	
4.97149	9.1366	
3.80771	8.27915	
5.08689	8.46211	
5.03288	8.27101	
3.56417	8.16283	
3.29057	8.7803	
2.4488	7.66344	
2.68272	9.13907	
1.14151	9.27848	
1.14314	8.85672	
6.35448	6.20332	
6.98718	7.74351	
5.69034	5.82679	
0.494157	7.82326	
1.15398	8.50942	
1.1444	8.67182	
1.14564	8.80594	
0.540444	7.21575	
0.448577	7.22813	
3.86347	9.6136	
3.78619	9.67447	
4.68593	9.25842	
4.67351	9.28092	
5.04349	4.26128	
5.73182	4.06269	
6.95893	2.75688	
7.4251	2.83515	
8.04359	2.67522	
7.80668	2.83187	
6.48327	1.67951	
5.70548	3.04412	
5.66835	3.02147	
0.247854	4.69596	
0.417738	3.95322	
0.442639	3.69298	
3.03474	2.2324	
2.89919	2.56645	
1.76316	1.49657	
1.1817	1.83268	
0.659799	1.68478	
8.99196	0.188326	
9.61	0.766336	
8.49605	1.13324	
9.75712	3.26588	
2.54511	5.60592	
2.75265	4.80792	
3.45158	5.17375	
1.67396	4.66045	
1.71055	4.78594	
2.52101	3.86926	
2.66692	3.82954	
2.49643	4.993	
2.33959	5.08515	
1.36886	4.83988	
1.59819	4.79471	
0.291016	5.18482	
1.17312	6.0923	
1.18891	5.99005	
0.104031	5.69739	
0.11128	5.69616	
2.44504	8.80132	
2.14323	8.35911	
2.41818	7.85321	
2.88854	8.98233	
2.63826	9.09879	
5.59833	5.88903	
5.62837	5.8903	
5.54267	6.93964	
6.58535	7.4469	
9.03624	0.146137	
2.75273	1.36776	
2.87183	1.49602	
3.20618	1.38624	
2.63359	0.23863	
2.63291	0.231939	
6.0712	1.34083	
5.53814	0.78356	
4.97699	2.0331	
4.53047	1.35588	
4.59877	1.68209	
2.97867	3.71926	
3.03366	3.48109	
3.74009	4.56051	
3.34253	4.41846	
4.76557	4.01976	
4.27842	3.755	
4.19705	3.64029	
5.2616	2.90111	
4.77082	2.34433	
4.22352	2.62327	
8.47877	1.13605	
9.36099	0.889346	
8.95409	2.07084	
8.97571	2.11306	
9.25877	2.21957	
4.85753	0.816624	
5.2992	0.621237	
3.95979	0.709251	
3.974	0.684752	
7.98664	0.0426862	
8.22352	0.981012	
7.74918	0.684048	
7.55024	1.76865	
7.41915	1.8102	
6.30225	1.39908	
6.46977	1.67168	
3.97076	0.477801	
4.8973	0.269845	
6.51539	1.15161	
7.61378	0.714148	
