timestep = 0
vx	vy
0.80631	4.40969	
timestep = 0.34
vx	vy
6.91019	8.52289	
3.53919	6.55257	
4.15855	7.95933	
8.62813	7.30718	
9.00204	1.09142	
8.49296	2.5845	
5.09122	2.98075	
4.84046	5.25111	
8.80901	3.22146	
8.63728	7.17122	
6.99942	5.69516	
4.55881	1.83119	
7.06404	9.81271	
0.843274	8.39682	
3.0283	6.45832	
1.84198	4.22302	
2.53361	1.58947	
3.26075	1.24036	
0.826585	0.341294	
0.804985	4.40842	
timestep = 0.35
vx	vy
6.90863	8.52288	
3.54118	6.54546	
4.16343	7.96278	
8.64067	7.30384	
9.00206	1.08842	
8.48926	2.58789	
5.08679	2.97449	
4.83112	5.25189	
8.80215	3.2202	
8.62129	7.17338	
6.99579	5.69467	
4.55938	1.83117	
7.06413	9.80931	
0.843816	8.39619	
3.02958	6.45247	
1.83872	4.22134	
2.52829	1.58144	
3.25316	1.23487	
0.828243	0.338993	
0.803548	4.40819	
timestep = 0.36
vx	vy
6.90844	8.52462	
3.54277	6.53894	
4.16829	7.96554	
8.62394	7.30262	
9.00212	1.08711	
8.4863	2.59137	
5.08298	2.96896	
4.82364	5.25296	
8.79611	3.21779	
8.63676	7.17304	
6.99374	5.6931	
4.55893	1.83214	
7.06418	9.80751	
0.843971	8.3947	
3.02897	6.44606	
1.83374	4.22028	
2.52153	1.57405	
3.24462	1.22955	
0.829242	0.337321	
0.801039	4.40682	
timestep = 0.37
vx	vy
6.90813	8.52509	
3.54308	6.53131	
4.1719	7.96719	
8.64286	7.30072	
9.00147	1.0836	
8.48185	2.59343	
5.078	2.96263	
4.81559	5.25371	
8.7889	3.21628	
8.61569	7.17385	
6.99039	5.6926	
4.55773	1.83121	
7.06425	9.80441	
0.845343	8.39348	
3.02916	6.43911	
1.82987	4.21775	
2.51459	1.56506	
3.23655	1.22333	
0.830349	0.334055	
0.797932	4.4055	
timestep = 0.38
vx	vy
6.90769	8.52655	
3.54449	6.52613	
4.17584	7.97048	
8.6178	7.30087	
9.00077	1.0809	
8.4773	2.59634	
5.07236	2.95727	
4.80781	5.25532	
8.78208	3.21514	
8.63953	7.17245	
6.9864	5.69229	
4.55622	1.83155	
7.06286	9.80154	
0.845389	8.3915	
3.02861	6.43377	
1.82634	4.21706	
2.50905	1.55938	
3.22884	1.21945	
0.831486	0.33246	
0.795468	4.40498	
timestep = 0.39
vx	vy
6.90636	8.52628	
3.54557	6.51991	
4.17967	7.97199	
8.64442	7.29941	
9.00088	1.07816	
8.47358	2.59841	
5.06813	2.95139	
4.79956	5.25577	
8.7753	3.21332	
8.60729	7.17074	
6.98235	5.69099	
4.55673	1.83056	
7.06337	9.79856	
0.845167	8.39008	
3.02844	6.42732	
1.82243	4.21397	
2.50426	1.55233	
3.22302	1.21408	
0.832932	0.330406	
0.792096	4.40266	
timestep = 0.4
vx	vy
6.90639	8.52748	
3.54665	6.51368	
4.18229	7.97447	
8.6108	7.30125	
9.00029	1.07587	
8.46945	2.60182	
5.06455	2.94623	
4.79357	5.25651	
8.76901	3.21204	
8.64107	7.16616	
6.97937	5.69041	
4.55539	1.83021	
7.06286	9.79648	
0.846238	8.3878	
3.02754	6.42159	
1.81802	4.2119	
2.49802	1.54597	
3.21574	1.20964	
0.833652	0.328854	
0.788859	4.40147	
timestep = 0.41
vx	vy
6.90535	8.52792	
3.54773	6.5083	
4.18537	7.97573	
8.64651	7.30153	
8.99983	1.07414	
8.46582	2.60421	
5.06083	2.94252	
4.78718	5.25786	
8.76244	3.21027	
8.60223	7.16454	
6.97645	5.68957	
4.55518	1.83191	
7.06259	9.7958	
0.846115	8.38649	
3.02717	6.41637	
1.81478	4.20995	
2.49291	1.53955	
3.20962	1.20576	
0.834329	0.326113	
0.785575	4.3999	
timestep = 0.42
vx	vy
6.90497	8.52903	
3.54888	6.50224	
4.18703	7.97604	
8.60867	7.30446	
8.99938	1.07309	
8.46134	2.60679	
5.05723	2.93746	
4.78136	5.25819	
8.75586	3.20824	
8.64028	7.15915	
6.97229	5.68841	
4.55453	1.83104	
7.0617	9.79387	
0.846576	8.38339	
3.02632	6.41005	
1.81176	4.20831	
2.48789	1.53362	
3.20319	1.20027	
0.834797	0.324695	
0.782893	4.39884	
timestep = 0.43
vx	vy
6.90321	8.52832	
3.54896	6.49817	
4.18853	7.97687	
8.64335	7.3041	
8.9977	1.07077	
8.45608	2.60945	
5.05261	2.93337	
4.77436	5.26067	
8.74932	3.20759	
8.60245	7.15884	
6.96936	5.68844	
4.55356	1.83013	
7.06055	9.79039	
0.845866	8.3818	
3.02521	6.40564	
1.80804	4.20759	
2.4821	1.52893	
3.19714	1.19593	
0.834436	0.322802	
0.779947	4.39824	
timestep = 0.44
vx	vy
6.90252	8.52955	
3.54948	6.49411	
4.19115	7.97835	
8.60991	7.30485	
8.99704	1.0686	
8.45323	2.61246	
5.04851	2.93003	
4.76811	5.26331	
8.7447	3.20662	
8.63486	7.15656	
6.9661	5.68946	
4.55179	1.82985	
7.0592	9.78798	
0.846735	8.37822	
3.0241	6.40063	
1.80483	4.20597	
2.47805	1.52381	
3.1919	1.19207	
0.836257	0.320721	
0.77823	4.39704	
timestep = 0.45
vx	vy
6.90083	8.52946	
3.54961	6.48803	
4.19208	7.97849	
8.63807	7.30236	
8.99627	1.06692	
8.44962	2.61392	
5.04452	2.92498	
4.76201	5.26295	
8.73862	3.20479	
8.60211	7.15602	
6.96275	5.688	
4.5501	1.8285	
7.05777	9.78662	
0.846124	8.37712	
3.02258	6.39514	
1.80168	4.20236	
2.47364	1.51749	
3.18611	1.18743	
0.837192	0.319235	
0.774554	4.39479	
timestep = 0.46
vx	vy
6.90114	8.52942	
3.55014	6.48256	
4.19402	7.97796	
8.60988	7.30143	
8.99663	1.06535	
8.44733	2.61626	
5.04208	2.92128	
4.75708	5.26331	
8.73291	3.2027	
8.62874	7.15389	
6.95954	5.68718	
4.54978	1.82759	
7.05813	9.78465	
0.845764	8.37347	
3.02015	6.38943	
1.79762	4.19971	
2.4689	1.51153	
3.18075	1.1823	
0.837926	0.316706	
0.770688	4.39286	
timestep = 0.47
vx	vy
6.90087	8.52926	
3.55041	6.4775	
4.1959	7.97897	
8.63343	7.29755	
8.99537	1.06434	
8.44345	2.62	
5.03808	2.91797	
4.75194	5.26387	
8.72741	3.20239	
8.60214	7.1538	
6.95753	5.68644	
4.54812	1.82732	
7.05723	9.78352	
0.844917	8.37139	
3.01797	6.38413	
1.79367	4.19718	
2.4641	1.50696	
3.17556	1.17879	
0.838302	0.31552	
0.766316	4.39109	
timestep = 0.48
vx	vy
6.89951	8.5309	
3.55068	6.47286	
4.1967	7.97952	
8.60778	7.29718	
8.99405	1.0636	
8.43936	2.62221	
5.03438	2.91412	
4.74593	5.26437	
8.7217	3.2004	
8.62437	7.15225	
6.95362	5.68528	
4.54704	1.82725	
7.05603	9.78273	
0.844174	8.36827	
3.01631	6.37885	
1.79017	4.19546	
2.46044	1.50211	
3.17103	1.17489	
0.83855	0.313873	
0.762538	4.38933	
timestep = 0.49
vx	vy
6.89892	8.53043	
3.55104	6.46739	
4.19828	7.97915	
8.6301	7.29375	
8.99263	1.06068	
8.43609	2.62273	
5.03086	2.90948	
4.74136	5.26409	
8.71655	3.19882	
8.60038	7.15283	
6.95183	5.68432	
4.54573	1.8259	
7.05504	9.78062	
0.843672	8.36572	
3.01505	6.37352	
1.78747	4.19198	
2.45631	1.4961	
3.16633	1.17067	
0.838576	0.310824	
0.759151	4.38716	
timestep = 0.5
vx	vy
6.89714	8.53116	
3.55155	6.46349	
